volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.16	0.0	1.0	-1.0	1	1.0			1.0																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0												0.19											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0													0.18										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0												0.19											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0													0.18										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0												0.19											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0													0.18										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.16	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.16	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.16	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.16	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0												0.19											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0													0.18										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0												0.19											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0													0.18										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0												0.19											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0													0.18										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0												0.19											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.17	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0													0.18										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.18	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.18	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.2	0.18	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.18	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.18	0.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.18	0.0	-1.0	1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.18	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.18	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0												0.19											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.18	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.2	0.18	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.19	0.18	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.19	0.18	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.19	0.19	0.19	0.19	0.19	0.18	0.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.19	0.18	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.19	0.18	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.19	0.18	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.18	0.18	0.18	0.18	0.19	0.18	0.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	1.0																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.17	0.17	0.17	0.17	0.19	0.17	-1.0	-1.0	-1.0	1	1.0	1.0	1.0	-1.0	1.0	-1.0																							0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.17	0.17	0.17	0.17	0.19	0.17	-1.0	-1.0	-1.0	1	-1.0	1.0	-1.0	-1.0	1.0	-1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.17	0.17	0.17	0.17	0.19	0.17	-1.0	-1.0	-1.0	1	-1.0	1.0	-1.0	-1.0	1.0	-1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.17	0.17	0.17	0.17	0.19	0.17	-1.0	-1.0	-1.0	1	-1.0	1.0	-1.0	-1.0	1.0	-1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.17	0.17	0.17	0.17	0.19	0.17	-1.0	-1.0	-1.0	1	-1.0	1.0	-1.0	-1.0	1.0	-1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.16	0.16	0.16	0.16	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	1.0	-1.0													0.16										-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.17	0.17	0.17	0.17	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	1.0	-1.0												0.17											-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.16	0.16	0.16	0.16	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	1.0	-1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.16	0.16	0.16	0.16	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	1.0	-1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.16	0.16	0.16	0.16	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	1.0	-1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.16	0.16	0.16	0.16	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.16	0.16	0.16	0.16	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.16	0.16	0.16	0.16	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.16	0.16	0.16	0.16	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.16	0.16	0.16	0.16	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.16	0.16	0.16	0.16	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.16	0.16	0.16	0.16	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.16	0.16	0.16	0.16	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
0	0.15	0.15	0.15	0.15	0.15	OLI.MI	0.16	0.16	0.16	0.16	0.19	0.16	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0																							-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.15	0.0
