volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
10000	0.69	0.69	0.69	0.69	0.69	SEIF.MI	0.69	0.69	0.69	0.69			0.0			0								0.69																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
22000	0.71	0.69	0.71	0.7	0.7	SEIF.MI	0.71	0.71	0.69	0.7			0.0			0							0.71																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.7	0.7	0.7	0.7	0.7	SEIF.MI	0.71	0.71	0.71	0.71			0.0			0																			0.71											0.0	0.0	0.0	0.0	0.0	0.0		0.0
6000	0.68	0.68	0.68	0.68	0.68	SEIF.MI	0.69	0.69	0.69	0.69			0.0			0																				0.69										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4000	0.69	0.68	0.69	0.68	0.68	SEIF.MI	0.7	0.7	0.7	0.7			0.0			0								0.68		0.68									0.7											0.0	0.0	0.0	0.0	0.0	0.0		0.0
12000	0.68	0.68	0.68	0.68	0.68	SEIF.MI	0.69	0.69	0.68	0.69			0.0			0																				0.68		0.68								0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	0.7	0.7	0.7	0.7	0.7	SEIF.MI	0.71	0.71	0.71	0.71			0.0			0																			0.71											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.7	0.7	0.7	0.7	0.7	SEIF.MI	0.7	0.7	0.7	0.7			0.0			0																				0.7										0.0	0.0	0.0	0.0	0.0	0.0		0.0
8000	0.71	0.71	0.71	0.71	0.71	SEIF.MI	0.71	0.71	0.71	0.71			0.0			0																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
22000	0.72	0.69	0.7	0.72	0.72	SEIF.MI	0.72	0.73	0.71	0.73			0.0		1.0	0																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.72	0.72	0.72	0.72	0.72	SEIF.MI	0.73	0.73	0.73	0.73			0.0		1.0	0							0.72												0.73											0.0	0.0	0.0	0.0	0.0	0.0		0.0
12000	0.72	0.69	0.69	0.72	0.72	SEIF.MI	0.71	0.73	0.7	0.73			0.0		1.0	0																				0.7										0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	0.72	0.69	0.72	0.69	0.69	SEIF.MI	0.75	0.75	0.72	0.72			0.0		1.0	0																			0.75											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	0.69	0.69	0.69	0.69	0.69	SEIF.MI	0.71	0.71	0.71	0.71			0.0		1.0	0								0.69												0.71										0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	0.72	0.72	0.72	0.72	0.72	SEIF.MI	0.75	0.75	0.75	0.75			0.0		1.0	0							0.72		0.72										0.75		0.75									0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	0.71	0.71	0.71	0.71	0.71	SEIF.MI	0.74	0.74	0.74	0.74			0.0		1.0	0																				0.74										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	0.71	0.71	0.71	0.71	0.71	SEIF.MI	0.75	0.75	0.75	0.75			0.0		1.0	0																			0.75											0.0	0.0	0.0	0.0	0.0	0.0		0.0
8000	0.7	0.69	0.69	0.69	0.69	SEIF.MI	0.73	0.74	0.73	0.73			0.0		1.0	0																				0.73										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	0.69	0.69	0.69	0.69	0.69	SEIF.MI	0.74	0.74	0.74	0.74			0.0		1.0	0																			0.74											0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	0.69	0.69	0.69	0.69	0.69	SEIF.MI	0.73	0.73	0.73	0.73			0.0		1.0	0																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
6000	0.68	0.68	0.68	0.68	0.68	SEIF.MI	0.71	0.71	0.71	0.71			0.0		1.0	0								0.68		0.68										0.71										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2000	0.71	0.71	0.71	0.71	0.71	SEIF.MI	0.74	0.74	0.74	0.74			0.0		1.0	0																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
10000	0.71	0.7	0.71	0.71	0.71	SEIF.MI	0.74	0.75	0.73	0.75			0.0		1.0	0							0.71												0.75		0.75									0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.71	0.71	0.71	0.71	0.71	SEIF.MI	0.74	0.74	0.74	0.74			0.0		1.0	0																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	0.7	0.7	0.7	0.7	0.7	SEIF.MI	0.72	0.72	0.72	0.72			0.0		1.0	0																														-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2000	0.7	0.7	0.7	0.7	0.7	SEIF.MI	0.72	0.72	0.72	0.72			0.0		1.0	0																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.7	0.7	0.7	0.7	0.7	SEIF.MI	0.72	0.72	0.72	0.72			0.0		1.0	0																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	0.69	0.69	0.69	0.69	0.69	SEIF.MI	0.7	0.7	0.7	0.7			0.0		-1.0	0								0.69												0.7										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
10000	0.72	0.69	0.72	0.7	0.7	SEIF.MI	0.74	0.74	0.71	0.72			0.0		-1.0	0							0.72		0.72										0.74											0.0	0.0	0.0	0.0	0.0	0.0		0.0
10000	0.69	0.68	0.69	0.68	0.68	SEIF.MI	0.7	0.7	0.69	0.69			0.0		-1.0	0																														-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
